Designator,Footprint,Quantity,Value,LCSC Part #
"0201_4, 0201_3, 0201_2, 0201",0201,4,C_0201_0603Metric,
"0402_4, 0402_3, 0402_2, 0402",0402,4,R_0402_1005Metric,
"0603_4, 0603_3, 0603_2, 0603",0603,4,R_0603_1608Metric,
"0805_4, 0805_3, 0805_2, 0805",0805,4,R_0805_2012Metric,
"1206_4, 1206_3, 1206_2, 1206",1206,4,R_1206_3216Metric,
"1812_4, 1812_3, 1812_2, 1812",1812,4,R_1812_4532Metric,
"2010_4, 2010_3, 2010_2, 2010",2010,4,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,
"2512_4, 2512_3, 2512_2, 2512",2512,4,R_2512_6332Metric,
"2816_4, 2816_3, 2816_2, 2816",2816,4,R_2816_7142Metric,
"4020_4, 4020_3, 4020_2, 4020",4020,4,R_4020_10251Metric,
"C1_4, C1_3, C1_2, C1, C2_4, C2_3, C2_2, C2, C3_4, C3_3, C3_2, C3, C4_4, C4_3, C4_2, C4, C7_4, C7_3, C7_2, C7, C8_4, C8_3, C8_2, C8, C9_4, C9_3, C9_2, C9",0402,28,100nF,
"C5_4, C5_3, C5_2, C5",0402,4,10nF,
"C6_4, C6_3, C6_2, C6",0402,4,1uF,
"D1_4, D1_3, D1_2, D1",SOT-416,4,RCLAMP0582B,
"D2_4, D2_3, D2_2, D2",0603,4,LED,
"IC1_4, IC1_3, IC1_2, IC1",SON50P200X150X50-5N,4,NT2H1311F0DTL,
"J1_4, J1_3, J1_2, J1",PinHeader_1x04_P2.54mm_Horizontal,4,Conn_01x04_Pin,
"J2_4, J2_3, J2_2, J2",PCB_USB_A,4,USB_A_PCB,
"J3_4, J3_3, J3_2, J3",PinSocket_2x12_P2.54mm_Vertical,4,Conn_02x12_Odd_Even,
"LQFP-32 0.5_4, LQFP-32 0.5_3, LQFP-32 0.5_2, LQFP-32 0.5",LQFP-32_5x5mm_P0.5mm,4,LQFP-32_5x5mm_P0.5mm,
"LQFP-32 0.8_4, LQFP-32 0.8_3, LQFP-32 0.8_2, LQFP-32 0.8",LQFP-32_7x7mm_P0.8mm,4,LQFP-32_7x7mm_P0.8mm,
"QFN-16_4, QFN-16_3, QFN-16_2, QFN-16",QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,4,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,
"QFN-32 _4, QFN-32 _3, QFN-32 _2, QFN-32 ",QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,4,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,
"R1_4, R1_3, R1_2, R1",0603,4,120R,
"SOT-223_4, SOT-223_3, SOT-223_2, SOT-223",SOT-223,4,SOT-223,
"SOT-23-3_4, SOT-23-3_3, SOT-23-3_2, SOT-23-3",SOT-23-3,4,SOT-23-3,
"SOT-23-5_4, SOT-23-5_3, SOT-23-5_2, SOT-23-5",SOT-23-5,4,SOT-23-5,
"SW1_4, SW1_3, SW1_2, SW1",Push_SMD_4.6x2.8mm_h1.9mm,4,SMD_4.6x2.8mm_h1.9mm,
"TSSOP-16_4, TSSOP-16_3, TSSOP-16_2, TSSOP-16",TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,4,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,
"TSSOP-24_4, TSSOP-24_3, TSSOP-24_2, TSSOP-24",TSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm,4,TSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm,
"U2_4, U2_3, U2_2, U2",QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,4,STM32L452CEUx,
"U3_4, U3_3, U3_2, U3",SOT-23,4,LM3480-3.3,
