Designator,Mid X,Mid Y,Rotation,Layer
C1_4,73.031,88.329411,135.0,top
C1_3,160.030047,88.329411,135.0,top
C1_2,73.031,31.329411,135.0,top
C1,160.030047,31.329411,135.0,top
C2_4,165.890047,80.83,315.0,top
C2_3,78.891,80.83,315.0,top
C2_2,78.891,23.83,315.0,top
C2,165.890047,23.83,315.0,top
C3_4,66.871,80.75,135.0,top
C3_3,153.870047,23.75,135.0,top
C3_2,66.871,23.75,135.0,top
C3,153.870047,80.75,135.0,top
C4_4,66.861,26.01,225.0,top
C4_3,153.860047,26.01,225.0,top
C4_2,66.861,83.01,225.0,top
C4,153.860047,83.01,225.0,top
C5_4,155.850047,76.97,135.0,top
C5_3,155.850047,19.97,135.0,top
C5_2,68.851,76.97,135.0,top
C5,68.851,19.97,135.0,top
C6_4,69.540411,77.690589,135.0,top
C6_3,156.539458,20.690589,135.0,top
C6_2,156.539458,77.690589,135.0,top
C6,69.540411,20.690589,135.0,top
C7_4,67.971,79.07,225.0,top
C7_3,67.971,22.07,225.0,top
C7_2,154.970047,22.07,225.0,top
C7,154.970047,79.07,225.0,top
C8_4,171.710047,40.23,225.0,top
C8_3,171.710047,97.23,225.0,top
C8_2,84.711,97.23,225.0,top
C8,84.711,40.23,225.0,top
C9_4,175.190047,36.83,225.0,top
C9_3,175.190047,93.83,225.0,top
C9_2,88.191,36.83,225.0,top
C9,88.191,93.83,225.0,top
D1_4,170.060047,41.74,225.0,top
D1_3,170.060047,98.74,225.0,top
D1_2,83.061,41.74,225.0,top
D1,83.061,98.74,225.0,top
D2_4,80.228867,44.942894,45.0,top
D2_3,167.227914,101.942894,45.0,top
D2_2,167.227914,44.942894,45.0,top
D2,80.228867,101.942894,45.0,top
IC1_4,49.4135,16.55,90.0,top
IC1_3,136.412547,73.55,90.0,top
IC1_2,136.412547,16.55,90.0,top
IC1,49.4135,73.55,90.0,top
J1_4,160.170047,1.965,270.0,top
J1_3,73.171,1.965,270.0,top
J1_2,73.171,58.965,270.0,top
J1,160.170047,58.965,270.0,top
J2_4,177.958284,50.958237,135.0,top
J2_3,90.959237,50.958237,135.0,top
J2_2,90.959237,107.958237,135.0,top
J2,177.958284,107.958237,135.0,top
J3_4,175.550047,17.84,0.0,top
J3_3,88.551,17.84,0.0,top
J3_2,88.551,74.84,0.0,top
J3,175.550047,74.84,0.0,top
R1_4,168.427914,43.742894,45.0,top
R1_3,168.427914,100.742894,45.0,top
R1_2,81.428867,100.742894,45.0,top
R1,81.428867,43.742894,45.0,top
SW1_4,164.590047,46.81,45.0,top
SW1_3,77.591,103.81,45.0,top
SW1_2,164.590047,103.81,45.0,top
SW1,77.591,46.81,45.0,top
TSSOP-16_4,113.725547,65.0175,0.0,bottom
TSSOP-16_3,113.725547,8.0175,0.0,bottom
TSSOP-16_2,26.7265,65.0175,0.0,bottom
TSSOP-16,26.7265,8.0175,0.0,bottom
TSSOP-24_4,16.232,65.015,0.0,bottom
TSSOP-24_3,103.231047,8.015,0.0,bottom
TSSOP-24_2,16.232,8.015,0.0,bottom
TSSOP-24,103.231047,65.015,0.0,bottom
U2_4,159.663251,81.925437,135.0,top
U2_3,72.664204,81.925437,135.0,top
U2_2,159.663251,24.925437,135.0,top
U2,72.664204,24.925437,135.0,top
U3_4,86.031,95.27,45.0,top
U3_3,173.030047,38.27,45.0,top
U3_2,86.031,38.27,45.0,top
U3,173.030047,95.27,45.0,top
