Designator,Footprint,Quantity,Value,LCSC Part #
0201,0201,1,C_0201_0603Metric,
0402,0402,1,R_0402_1005Metric,
0603,0603,1,R_0603_1608Metric,
0805,0805,1,R_0805_2012Metric,
1206,1206,1,R_1206_3216Metric,
1812,1812,1,R_1812_4532Metric,
2010,2010,1,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,
2512,2512,1,R_2512_6332Metric,
2816,2816,1,R_2816_7142Metric,
4020,4020,1,R_4020_10251Metric,
"C1, C2, C3, C4, C7",0402,5,100nF,
C5,0402,1,10nF,
C6,0402,1,1uF,
D1,SOT-416,1,RCLAMP0582B,
D2,0603,1,LED,
IC1,SON50P200X150X50-5N,1,NT2H1311F0DTL,
J1,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04_Pin,
J2,PCB_USB_A,1,USB_A_PCB,
J3,PinSocket_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
LQFP-32 0.5,LQFP-32_5x5mm_P0.5mm,1,LQFP-32_5x5mm_P0.5mm,
LQFP-32 0.8,LQFP-32_7x7mm_P0.8mm,1,LQFP-32_7x7mm_P0.8mm,
QFN-16,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,
QFN-32 ,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,1,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,
R1,0603,1,120R,
SOT-223,SOT-223,1,SOT-223,
SOT-23-3,SOT-23-3,1,SOT-23-3,
SOT-23-5,SOT-23-5,1,SOT-23-5,
SW1,Push_SMD_4.6x2.8mm_h1.9mm,1,SMD_4.6x2.8mm_h1.9mm,
TSSOP-16,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,1,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,
TSSOP-24,TSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm,1,TSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L552CCTx,
U2,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,1,AP7370-33FDC,
