Designator,Mid X,Mid Y,Rotation,Layer
C1,64.53,31.36,135.0,top
C2,69.36,24.35,315.0,top
C3,56.25,23.15,135.0,top
C4,56.05,26.91,225.0,top
C5,58.05,19.2,135.0,top
C6,58.739411,19.920589,135.0,top
C7,56.998822,20.941178,225.0,top
D1,74.31,39.62,225.0,top
D2,70.227867,44.942894,45.0,top
IC1,39.4125,16.55,90.0,top
J2,80.958237,50.958237,135.0,top
J3,78.55,17.84,0.0,top
R1,71.427867,43.742894,45.0,top
SW1,67.59,46.81,45.0,top
TSSOP-16,16.7255,8.0175,0.0,bottom
TSSOP-24,6.231,8.015,0.0,bottom
U1,62.63,24.9,315.0,top
U2,73.107347,42.213414,315.0,top
